,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
8,"RT @Nher_who: Now that India is facing Second COVID wave

Lets Hope the PM doesn't ask for funds again in the name of PMCares 2.0","RT @Nher_who: Now that India is facing Second COVID wave

Lets Hope the PM doesn't ask for funds again in the name of PMCares 2.0",that India facing Second COVID wave Lets Hope doesn funds again name PMCares,"['that', 'India', 'facing', 'Second', 'COVID', 'wave', 'Lets', 'Hope', 'doesn', 'funds', 'again', 'name', 'PMCares']","['India', 'Second', 'COVID', 'Lets', 'Hope', 'funds', 'name', 'PMCares']", india face second covid wave let hope pm ask fund name pmcare  ,True,['@Nher_who'],[],[],7
9,RT @abcnews: Thousands of vulnerable Australians anxiously waiting for COVID-19 vaccine https://t.co/OdNX1xYyVH,RT @abcnews: Thousands of vulnerable Australians anxiously waiting for COVID-19 vaccine ,Thousands vulnerable Australians anxiously waiting COVID vaccine,"['Thousands', 'vulnerable', 'Australians', 'anxiously', 'waiting', 'COVID', 'vaccine']","['Thousands', 'Australians', 'COVID', 'vaccine']", thousand vulner australian anxious wait covid  vaccin ,True,['@abcnews'],[],[],7
21,"RT @ToscaAusten: Discrimination is the new norm in woke Joe Biden era.
👉🏿🚨Rhode Island wasted vaccine by *excluding whites* from big COVID…","RT @ToscaAusten: Discrimination is the new norm in woke Joe Biden era.
👉🏿🚨Rhode Island wasted vaccine by *excluding whites* from big COVID…",Discrimination norm woke Biden Rhode Island wasted vaccine excluding whites from COVID,"['Discrimination', 'norm', 'woke', 'Biden', 'Rhode', 'Island', 'wasted', 'vaccine', 'excluding', 'whites', 'from', 'COVID']","['Discrimination', 'norm', 'Biden', 'Rhode', 'Island', 'vaccine', 'whites', 'COVID']", discrimin new norm woke joe biden era 👉🏿🚨rhode island wast vaccin exclud white big covid…,True,['@ToscaAusten'],[],[],7
30,"RT @Nher_who: Now that India is facing Second COVID wave

Lets Hope the PM doesn't ask for funds again in the name of PMCares 2.0","RT @Nher_who: Now that India is facing Second COVID wave

Lets Hope the PM doesn't ask for funds again in the name of PMCares 2.0",that India facing Second COVID wave Lets Hope doesn funds again name PMCares,"['that', 'India', 'facing', 'Second', 'COVID', 'wave', 'Lets', 'Hope', 'doesn', 'funds', 'again', 'name', 'PMCares']","['India', 'Second', 'COVID', 'Lets', 'Hope', 'funds', 'name', 'PMCares']", india face second covid wave let hope pm ask fund name pmcare  ,True,['@Nher_who'],[],[],7
83,"Covid won't touch me only on one condition. I don't get too close to anyone. (Physically distanced)

#Meme5
#Covidmemes
#Covid2ndWave","Covid won't touch me only on one condition. I don't get too close to anyone. (Physically distanced)

#Meme5
#Covidmemes
#Covid2ndWave",Covid touch only condition close anyone Physically distanced #Meme #Covidmemes #Covid ndWave,"['Covid', 'touch', 'only', 'condition', 'close', 'anyone', 'Physically', 'distanced', '#', 'Meme', '#', 'Covidmemes', '#', 'Covid', 'ndWave']","['Covid', 'touch', 'condition', 'anyone', 'Physically', 'Meme', 'Covidmemes', 'Covid']",covid touch one condit get close anyon physic distanc #meme #covidmemes #covidndwave,False,[],[],"['#Meme5', '#Covidmemes', '#Covid2ndWave']",7
111,"Some quick takes on #WorldMortality: How it came to be, the process, and where we hope this will lead us in underst… https://t.co/cUuzwQ2URD","Some quick takes on #WorldMortality: How it came to be, the process, and where we hope this will lead us in underst… ",Some quick takes #WorldMortality came process where hope this will lead underst,"['Some', 'quick', 'takes', '#', 'WorldMortality', 'came', 'process', 'where', 'hope', 'this', 'will', 'lead', 'underst']","['WorldMortality', 'process', 'hope']",quick take #worldmortality came process hope lead us underst… ,False,[],[],['#WorldMortality'],7
122,"RT @TomiLahren: I personally will not get the COVID vaccine/will not be forced to get it. If you want to get it, by all means please do. If…","RT @TomiLahren: I personally will not get the COVID vaccine/will not be forced to get it. If you want to get it, by all means please do. If…",personally will COVID vaccine will forced want means please,"['personally', 'will', 'COVID', 'vaccine', 'will', 'forced', 'want', 'means', 'please']","['COVID', 'vaccine', 'means']", person get covid vaccin forc get want get mean pleas if…,True,['@TomiLahren'],[],[],7
134,RT @redheadmom8: Who's going to tell the people screaming that Covid killed hundreds of thousands of people last year that our death rate s…,RT @redheadmom8: Who's going to tell the people screaming that Covid killed hundreds of thousands of people last year that our death rate s…,going tell people screaming that Covid killed hundreds thousands people last year that death rate,"['going', 'tell', 'people', 'screaming', 'that', 'Covid', 'killed', 'hundreds', 'thousands', 'people', 'last', 'year', 'that', 'death', 'rate']","['tell', 'people', 'Covid', 'hundreds', 'thousands', 'people', 'year', 'death', 'rate']", go tell peopl scream covid kill hundr thousand peopl last year death rate s…,True,['@redheadmom8'],[],[],7
155,THANKS MAM,THANKS MAM,THANKS,['THANKS'],['THANKS'],thank mam,False,[],[],[],7
158,RT @dpizback: Dear all.. my mom and dad infected by Covid and have low oxygen saturation.. need two beds in south Bangalore (Karnataka) or…,RT @dpizback: Dear all.. my mom and dad infected by Covid and have low oxygen saturation.. need two beds in south Bangalore (Karnataka) or…,Dear infected Covid have oxygen saturation need beds south Bangalore Karnataka,"['Dear', 'infected', 'Covid', 'have', 'oxygen', 'saturation', 'need', 'beds', 'south', 'Bangalore', 'Karnataka']","['Dear', 'Covid', 'saturation', 'need', 'beds', 'Karnataka']", dear mom dad infect covid low oxygen satur need two bed south bangalor karnataka or…,True,['@dpizback'],[],[],7
