,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
7,RT @dinesh_sir: Thanks for taking decisions for safety of students. But please try to clear picture of future exam patterns asap. So that s…,RT @dinesh_sir: Thanks for taking decisions for safety of students. But please try to clear picture of future exam patterns asap. So that s…,Thanks taking decisions safety students please clear picture future exam patterns asap that,"['Thanks', 'taking', 'decisions', 'safety', 'students', 'please', 'clear', 'picture', 'future', 'exam', 'patterns', 'asap', 'that']","['Thanks', 'decisions', 'safety', 'students', 'picture', 'exam', 'patterns']", thank take decis safeti student pleas tri clear pictur futur exam pattern asap s…,True,['@dinesh_sir'],[],[],0
17,"RT @Voize_of_Reazon: Just hours after tweeting this, he was killed while riding his bike.  I love to cycle and I'm cautious as hell when I…","RT @Voize_of_Reazon: Just hours after tweeting this, he was killed while riding his bike.  I love to cycle and I'm cautious as hell when I…",Just hours after tweeting this killed while riding bike love cycle cautious hell when,"['Just', 'hours', 'after', 'tweeting', 'this', 'killed', 'while', 'riding', 'bike', 'love', 'cycle', 'cautious', 'hell', 'when']","['Just', 'hours', 'love', 'cycle', 'hell']", hour tweet kill ride bike love cycl cautiou hell i…,True,['@Voize_of_Reazon'],[],[],0
37,@Himansh94406885 @AamAadmiParty @ArvindKejriwal Yrr tumne hardwork.  Kiy hai bo waste toh ho nhi jaayega becz knowl… https://t.co/45fpHWK7dQ,@Himansh94406885 @AamAadmiParty @ArvindKejriwal Yrr tumne hardwork.  Kiy hai bo waste toh ho nhi jaayega becz knowl… ,tumne hardwork waste jaayega becz knowl,"['tumne', 'hardwork', 'waste', 'jaayega', 'becz', 'knowl']","['tumne', 'hardwork', 'waste', 'jaayega', 'becz', 'knowl']", yrr tumn hardwork kiy hai bo wast toh ho nhi jaayega becz knowl… ,False,[],"['@Himansh94406885', '@AamAadmiParty', '@ArvindKejriwal']",[],0
42,Good decision and long overdue. The MRA regulatory bodies are one of the most stringent and in emergency requiremen… https://t.co/Fmyhjm1lIA,Good decision and long overdue. The MRA regulatory bodies are one of the most stringent and in emergency requiremen… ,Good decision long overdue regulatory bodies most stringent emergency requiremen,"['Good', 'decision', 'long', 'overdue', 'regulatory', 'bodies', 'most', 'stringent', 'emergency', 'requiremen']","['decision', 'bodies', 'emergency', 'requiremen']",good decis long overdu mra regulatori bodi one stringent emerg requiremen… ,False,[],[],[],0
47,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,Delhi requests Centre Govt #cancelcbseboardexams amid fears exam centres becoming Covid hots,"['Delhi', 'requests', 'Centre', 'Govt', '#', 'cancelcbseboardexams', 'amid', 'fears', 'exam', 'centres', 'becoming', 'Covid', 'hots']","['Delhi', 'requests', 'Centre', 'Govt', 'cancelcbseboardexams', 'fears', 'centres', 'Covid', 'hots']", delhi cm request centr govt #cancelcbseboardexams amid fear exam centr becom covid hots…,True,['@nidhiindiatv'],['@ArvindKejriwal'],['#cancelcbseboardexams2021'],0
52,"RT @DrAsh_Mahendra: Good decision but alternative assessment is the only way, we Can't  postponed for long time @VarshaEGaikwad
#internalas…","RT @DrAsh_Mahendra: Good decision but alternative assessment is the only way, we Can't  postponed for long time @VarshaEGaikwad
#internalas…",Good decision alternative assessment only postponed long time #internalas,"['Good', 'decision', 'alternative', 'assessment', 'only', 'postponed', 'long', 'time', '#', 'internalas']","['decision', 'assessment', 'time', 'internalas']", good decis altern assess way postpon long time #internalas…,True,['@DrAsh_Mahendra'],['@VarshaEGaikwad'],['#internalas'],0
53,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,Delhi requests Centre Govt #cancelcbseboardexams amid fears exam centres becoming Covid hots,"['Delhi', 'requests', 'Centre', 'Govt', '#', 'cancelcbseboardexams', 'amid', 'fears', 'exam', 'centres', 'becoming', 'Covid', 'hots']","['Delhi', 'requests', 'Centre', 'Govt', 'cancelcbseboardexams', 'fears', 'centres', 'Covid', 'hots']", delhi cm request centr govt #cancelcbseboardexams amid fear exam centr becom covid hots…,True,['@nidhiindiatv'],['@ArvindKejriwal'],['#cancelcbseboardexams2021'],0
59,RT @GauriDesaiAAP: Thanks https://t.co/vFmrgawuPp,RT @GauriDesaiAAP: Thanks ,Thanks,['Thanks'],['Thanks'], thank ,True,['@GauriDesaiAAP'],[],[],0
74,"RT @thakur_shivangi: Covid patient given oxygen in Autorikshaw. Visuals are from Satara District, Maharashtra. https://t.co/Sobg1rfBGw","RT @thakur_shivangi: Covid patient given oxygen in Autorikshaw. Visuals are from Satara District, Maharashtra. ",Covid patient given oxygen Autorikshaw Visuals from Satara District Maharashtra,"['Covid', 'patient', 'given', 'oxygen', 'Autorikshaw', 'Visuals', 'from', 'Satara', 'District', 'Maharashtra']","['Covid', 'patient', 'Autorikshaw', 'Visuals', 'Satara', 'District', 'Maharashtra']", covid patient given oxygen autorikshaw visual satara district maharashtra ,True,['@thakur_shivangi'],[],[],0
76,"RT @Intereconomics_: What are the options and scenarios for dealing with #publicdebt in the post-COVID #euroarea? 
@AlcidiCinzia, @WielandV…","RT @Intereconomics_: What are the options and scenarios for dealing with #publicdebt in the post-COVID #euroarea? 
@AlcidiCinzia, @WielandV…",What options scenarios dealing with #publicdebt post COVID #euroarea,"['What', 'options', 'scenarios', 'dealing', 'with', '#', 'publicdebt', 'post', 'COVID', '#', 'euroarea']","['options', 'publicdebt', 'post', 'COVID', 'euroarea']", option scenario deal #publicdebt post covid #euroarea …,True,['@Intereconomics_'],"['@AlcidiCinzia', '@WielandV']","['#publicdebt', '#euroarea']",0
