,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
6,"RT @PGaspirant7: #postponeneetpg 
@profplal
Covid may stay here for long,
But the Surge will go down
Pls wait until the Surge subsides
This…","RT @PGaspirant7: #postponeneetpg 
@profplal
Covid may stay here for long,
But the Surge will go down
Pls wait until the Surge subsides
This…",#postponeneetpg Covid stay here long Surge will down wait until Surge subsides This,"['#', 'postponeneetpg', 'Covid', 'stay', 'here', 'long', 'Surge', 'will', 'down', 'wait', 'until', 'Surge', 'subsides', 'This']","['postponeneetpg', 'Covid', 'stay', 'Surge', 'wait', 'Surge']", #postponeneetpg covid may stay long surg go pl wait surg subsid this…,True,['@PGaspirant7'],['@profplal'],['#postponeneetpg'],3
10,RT @Reuters: China reports 9 new COVID-19 cases vs 16 a day earlier https://t.co/sJGQwZaodl https://t.co/DPyiCqYeQf,RT @Reuters: China reports 9 new COVID-19 cases vs 16 a day earlier  ,China reports COVID cases earlier,"['China', 'reports', 'COVID', 'cases', 'earlier']","['China', 'reports', 'COVID', 'cases']", china report  new covid  case vs  day earlier ,True,['@Reuters'],[],[],3
25,"8,571 NEW COVID-19 CASES.","8,571 NEW COVID-19 CASES.",COVID CASES,"['COVID', 'CASES']","['COVID', 'CASES']",  new covid  case ,False,[],[],[],3
39,It must be almost impossible for people to refrain from pre-COVID lifestyle after being supressed for months. It is… https://t.co/TbpEdP6AQd,It must be almost impossible for people to refrain from pre-COVID lifestyle after being supressed for months. It is… ,must almost impossible people refrain from COVID lifestyle after being supressed months,"['must', 'almost', 'impossible', 'people', 'refrain', 'from', 'COVID', 'lifestyle', 'after', 'being', 'supressed', 'months']","['people', 'COVID', 'lifestyle', 'months']",must almost imposs peopl refrain pre covid lifestyl supress month is… ,False,[],[],[],3
43,"More changes came into play yesterday, so we thought this would be a good moment to recap what the rules are.
What… https://t.co/HPTIpxWeyW","More changes came into play yesterday, so we thought this would be a good moment to recap what the rules are.
What… ",More changes came into play yesterday thought this would good moment recap what rules What,"['More', 'changes', 'came', 'into', 'play', 'yesterday', 'thought', 'this', 'would', 'good', 'moment', 'recap', 'what', 'rules', 'What']","['changes', 'play', 'yesterday', 'moment', 'rules']",chang came play yesterday thought would good moment recap rule what… ,False,[],[],[],3
56,"RT @HKitkat18: Before COVID, I’d been easing my cute gyno into the hotwife lifestyle. It all started when I had to explain a surprise pregn…","RT @HKitkat18: Before COVID, I’d been easing my cute gyno into the hotwife lifestyle. It all started when I had to explain a surprise pregn…",Before COVID been easing cute gyno into hotwife lifestyle started when explain surprise pregn,"['Before', 'COVID', 'been', 'easing', 'cute', 'gyno', 'into', 'hotwife', 'lifestyle', 'started', 'when', 'explain', 'surprise', 'pregn']","['COVID', 'gyno', 'lifestyle', 'explain', 'surprise', 'pregn']", covid i’d eas cute gyno hotwif lifestyl start explain surpris pregn…,True,['@HKitkat18'],[],[],3
78,RT @nypost: Microchip developed by Pentagon to detect COVID-19 https://t.co/FgzeuEtZlo https://t.co/QqlWQNZmjS,RT @nypost: Microchip developed by Pentagon to detect COVID-19  ,Microchip developed Pentagon detect COVID,"['Microchip', 'developed', 'Pentagon', 'detect', 'COVID']","['Microchip', 'Pentagon', 'detect', 'COVID']", microchip develop pentagon detect covid  ,True,['@nypost'],[],[],3
79,so many covid cases in pune fck :/,so many covid cases in pune fck :/,many covid cases pune,"['many', 'covid', 'cases', 'pune']","['covid', 'cases']",mani covid case pune fck ,False,[],[],[],3
85,RT @AbijitG: It sometimes feels like all religions are having a Covid dance-off going 'your turn' 👉,RT @AbijitG: It sometimes feels like all religions are having a Covid dance-off going 'your turn' 👉,sometimes feels like religions having Covid dance going your turn,"['sometimes', 'feels', 'like', 'religions', 'having', 'Covid', 'dance', 'going', 'your', 'turn']","['feels', 'religions', 'Covid', 'dance', 'turn']", sometim feel like religion covid danc go turn 👉,True,['@AbijitG'],[],[],3
90,RT @ZeroCovidNow1: This is extremely worrying.  All the potential effects of #LongCovid should be taken into account in framing policy. So…,RT @ZeroCovidNow1: This is extremely worrying.  All the potential effects of #LongCovid should be taken into account in framing policy. So…,This extremely worrying potential effects #LongCovid should taken into account framing policy,"['This', 'extremely', 'worrying', 'potential', 'effects', '#', 'LongCovid', 'should', 'taken', 'into', 'account', 'framing', 'policy']","['effects', 'LongCovid', 'account', 'framing', 'policy']", extrem worri potenti effect #longcovid taken account frame polici so…,True,['@ZeroCovidNow1'],[],['#LongCovid'],3
