,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
0,RT @Joydas: When Is the Last Election Rally of Narendra Modi in West Bengal? That’s the Day Election Commission will decide too many Covid…,RT @Joydas: When Is the Last Election Rally of Narendra Modi in West Bengal? That’s the Day Election Commission will decide too many Covid…,When Last Election Rally Narendra Modi West Bengal That Election Commission will decide many Covid,"['When', 'Last', 'Election', 'Rally', 'Narendra', 'Modi', 'West', 'Bengal', 'That', 'Election', 'Commission', 'will', 'decide', 'many', 'Covid']","['Election', 'Rally', 'Narendra', 'Modi', 'West', 'Bengal', 'That', 'Election', 'Commission', 'Covid']", last elect ralli narendra modi west bengal that’ day elect commiss decid mani covid…,True,['@Joydas'],[],[],9
2,RT @LiveLawIndia: Can Centre Intervene If A State Is Not Doing Well? High Court Asks About Gujarat COVID Situation https://t.co/32pOeI2QGU,RT @LiveLawIndia: Can Centre Intervene If A State Is Not Doing Well? High Court Asks About Gujarat COVID Situation ,Centre Intervene State Doing Well High Court Asks About Gujarat COVID Situation,"['Centre', 'Intervene', 'State', 'Doing', 'Well', 'High', 'Court', 'Asks', 'About', 'Gujarat', 'COVID', 'Situation']","['Centre', 'Intervene', 'State', 'Doing', 'Well', 'High', 'Court', 'Asks', 'Gujarat', 'COVID', 'Situation']", centr interven state well high court ask gujarat covid situat ,True,['@LiveLawIndia'],[],[],9
4,"RT @NagpurKaRajini: So Covid in Maharashtra spread because of Modi's rally in West Bengal... People roamed around freely, they never wore m…","RT @NagpurKaRajini: So Covid in Maharashtra spread because of Modi's rally in West Bengal... People roamed around freely, they never wore m…",Covid Maharashtra spread because Modi rally West Bengal People roamed around freely they never wore,"['Covid', 'Maharashtra', 'spread', 'because', 'Modi', 'rally', 'West', 'Bengal', 'People', 'roamed', 'around', 'freely', 'they', 'never', 'wore']","['Covid', 'Maharashtra', 'spread', 'Modi', 'West', 'Bengal', 'People']", covid maharashtra spread modi ralli west bengal peopl roam around freeli never wore m…,True,['@NagpurKaRajini'],[],[],9
48,Police charge organizers of Lethbridge house party that violated COVID-19 rules https://t.co/8lXDU35PIG #Covid #yql,Police charge organizers of Lethbridge house party that violated COVID-19 rules  #Covid #yql,Police charge organizers Lethbridge house party that violated COVID rules #Covid #yql,"['Police', 'charge', 'organizers', 'Lethbridge', 'house', 'party', 'that', 'violated', 'COVID', 'rules', '#', 'Covid', '#', 'yql']","['Police', 'charge', 'organizers', 'Lethbridge', 'house', 'party', 'COVID', 'rules', 'Covid', 'yql']",polic charg organ lethbridg hous parti violat covid  rule #covid #yq,False,[],[],"['#Covid', '#yql']",9
67,"RT @Joydas: Cholera Epidemic Broke out in Kumbh Mela in 1783. Around 20,000 People died in a week. After that, the Sixth Cholera Pandemic B…","RT @Joydas: Cholera Epidemic Broke out in Kumbh Mela in 1783. Around 20,000 People died in a week. After that, the Sixth Cholera Pandemic B…",Cholera Epidemic Broke Kumbh Mela Around People died week After that Sixth Cholera Pandemic,"['Cholera', 'Epidemic', 'Broke', 'Kumbh', 'Mela', 'Around', 'People', 'died', 'week', 'After', 'that', 'Sixth', 'Cholera', 'Pandemic']","['Cholera', 'Epidemic', 'Broke', 'Kumbh', 'Mela', 'People', 'week', 'Sixth', 'Cholera', 'Pandemic']", cholera epidem broke kumbh mela  around   peopl die week sixth cholera pandem b…,True,['@Joydas'],[],[],9
81,"Suna hai 50 % Court staff and judges are down with Covid.. 
Par yahan twitter pe to kitne Judge khule aam ghoom rah… https://t.co/bwDQAlgHp3","Suna hai 50 % Court staff and judges are down with Covid.. 
Par yahan twitter pe to kitne Judge khule aam ghoom rah… ",Suna Court staff judges down with Covid yahan twitter kitne Judge khule ghoom,"['Suna', 'Court', 'staff', 'judges', 'down', 'with', 'Covid', 'yahan', 'twitter', 'kitne', 'Judge', 'khule', 'ghoom']","['Suna', 'Court', 'staff', 'judges', 'Covid', 'yahan', 'twitter', 'kitne', 'Judge', 'khule', 'ghoom']",suna hai  court staff judg covid par yahan twitter pe kitn judg khule aam ghoom rah… ,False,[],[],[],9
84,"RT @FabienBrodie: Image-Based Machine Learning Models for COVID-19 Diagnosis Not Suitable for Clinical Use - Diagnostic Imaging

Read more…","RT @FabienBrodie: Image-Based Machine Learning Models for COVID-19 Diagnosis Not Suitable for Clinical Use - Diagnostic Imaging

Read more…",Image Based Machine Learning Models COVID Diagnosis Suitable Clinical Diagnostic Imaging Read more,"['Image', 'Based', 'Machine', 'Learning', 'Models', 'COVID', 'Diagnosis', 'Suitable', 'Clinical', 'Diagnostic', 'Imaging', 'Read', 'more']","['Image', 'Machine', 'Learning', 'Models', 'COVID', 'Diagnosis', 'Suitable', 'Clinical', 'Diagnostic', 'Imaging', 'Read']", imag base machin learn model covid  diagnosi suitabl clinic use diagnost imag read more…,True,['@FabienBrodie'],[],[],9
101,"RT @Cow__Momma: If Smriti Irani could be India’s Education Minister why can’t the Gardener in Sanchi, Madhya Pradesh be assigned to collect…","RT @Cow__Momma: If Smriti Irani could be India’s Education Minister why can’t the Gardener in Sanchi, Madhya Pradesh be assigned to collect…",Smriti Irani could India Education Minister Gardener Sanchi Madhya Pradesh assigned collect,"['Smriti', 'Irani', 'could', 'India', 'Education', 'Minister', 'Gardener', 'Sanchi', 'Madhya', 'Pradesh', 'assigned', 'collect']","['Smriti', 'Irani', 'India', 'Education', 'Minister', 'Gardener', 'Sanchi', 'Madhya', 'Pradesh', 'collect']", smriti irani could india’ educ minist can’t garden sanchi madhya pradesh assign collect…,True,['@Cow__Momma'],[],[],9
105,Can someone explain how a FIRST WORLD COUNTRY CANT GET THEIR SHIT IN ORDER BUT THESE OTHER COUNTRIES CAN! 🥴🥴🥴🤦🏾‍♀️… https://t.co/QLw2RDPtKl,Can someone explain how a FIRST WORLD COUNTRY CANT GET THEIR SHIT IN ORDER BUT THESE OTHER COUNTRIES CAN! 🥴🥴🥴🤦🏾‍♀️… ,someone explain FIRST WORLD COUNTRY CANT THEIR SHIT ORDER THESE OTHER COUNTRIES,"['someone', 'explain', 'FIRST', 'WORLD', 'COUNTRY', 'CANT', 'THEIR', 'SHIT', 'ORDER', 'THESE', 'OTHER', 'COUNTRIES']","['someone', 'explain', 'FIRST', 'WORLD', 'COUNTRY', 'CANT', 'THEIR', 'SHIT', 'ORDER', 'THESE', 'OTHER', 'COUNTRIES']",someon explain first world countri cant get shit order countri 🥴🥴🥴🤦🏾‍♀️… ,False,[],[],[],9
109,"RT @choudhryrahul: Single-day rise of 1,61,736 infections, 879 fatalities pushes India's COVID-19 tally of cases to 1,36,89,453, death toll…","RT @choudhryrahul: Single-day rise of 1,61,736 infections, 879 fatalities pushes India's COVID-19 tally of cases to 1,36,89,453, death toll…",Single rise infections fatalities pushes India COVID tally cases death toll,"['Single', 'rise', 'infections', 'fatalities', 'pushes', 'India', 'COVID', 'tally', 'cases', 'death', 'toll']","['Single', 'rise', 'infections', 'fatalities', 'pushes', 'India', 'COVID', 'cases', 'death', 'toll']", singl day rise    infect  fatal push india covid  talli case     death toll…,True,['@choudhryrahul'],[],[],9
