,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
33,"RT @problem_we: This needs to be shared around. the same thing happened to me at the same time for a video on this topic, but to top it off…","RT @problem_we: This needs to be shared around. the same thing happened to me at the same time for a video on this topic, but to top it off…",This needs shared around same thing happened same time video this topic,"['This', 'needs', 'shared', 'around', 'same', 'thing', 'happened', 'same', 'time', 'video', 'this', 'topic']","['thing', 'time', 'video', 'topic']", need share around thing happen time video topic top off…,True,['@problem_we'],[],[],1
38,RT @ajmaljami: The coronavirus disease has severely affected the country’s healthcare system and the situation is worse than that in June l…,RT @ajmaljami: The coronavirus disease has severely affected the country’s healthcare system and the situation is worse than that in June l…,coronavirus disease severely affected country healthcare system situation worse than that June,"['coronavirus', 'disease', 'severely', 'affected', 'country', 'healthcare', 'system', 'situation', 'worse', 'than', 'that', 'June']","['coronavirus', 'disease', 'country', 'healthcare', 'system', 'situation', 'June']", coronaviru diseas sever affect country’ healthcar system situat wors june l…,True,['@ajmaljami'],[],[],1
40,RT @Rsel_99: Here doctors can't control the covid situation and @cbseindia29 assures the students and parents that they will control the si…,RT @Rsel_99: Here doctors can't control the covid situation and @cbseindia29 assures the students and parents that they will control the si…,Here doctors control covid situation assures students parents that they will control,"['Here', 'doctors', 'control', 'covid', 'situation', 'assures', 'students', 'parents', 'that', 'they', 'will', 'control']","['doctors', 'situation', 'students', 'parents']", doctor control covid situat assur student parent control si…,True,['@Rsel_99'],['@cbseindia29'],[],1
61,@Niall_Boylan Not to worry.. it’s not Covid or vaccine related so nobody gives a fu*k,@Niall_Boylan Not to worry.. it’s not Covid or vaccine related so nobody gives a fu*k,worry Covid vaccine related nobody gives,"['worry', 'Covid', 'vaccine', 'related', 'nobody', 'gives']","['worry', 'Covid', 'vaccine', 'nobody']", worri it’ covid vaccin relat nobodi give fu ,False,[],['@Niall_Boylan'],[],1
64,"Latest on COVID-19 cases among Filipinos abroad as of April 13, 2021.

New confirmed cases: 889
New recoveries: 913… https://t.co/3M8fTFfYLQ","Latest on COVID-19 cases among Filipinos abroad as of April 13, 2021.

New confirmed cases: 889
New recoveries: 913… ",Latest COVID cases among Filipinos abroad April confirmed cases recoveries,"['Latest', 'COVID', 'cases', 'among', 'Filipinos', 'abroad', 'April', 'confirmed', 'cases', 'recoveries']","['Latest', 'COVID', 'cases', 'Filipinos', 'April', 'cases', 'recoveries']",latest covid  case among filipino abroad april   new confirm case  new recoveri … ,False,[],[],[],1
70,"RT @XHNews: It is important for low-income and emerging economies to have more access to COVID-19 vaccination, an International Monetary Fu…","RT @XHNews: It is important for low-income and emerging economies to have more access to COVID-19 vaccination, an International Monetary Fu…",important income emerging economies have more access COVID vaccination International Monetary,"['important', 'income', 'emerging', 'economies', 'have', 'more', 'access', 'COVID', 'vaccination', 'International', 'Monetary']","['income', 'economies', 'access', 'COVID', 'vaccination', 'International', 'Monetary']", import low incom emerg economi access covid  vaccin intern monetari fu…,True,['@XHNews'],[],[],1
76,"RT @Intereconomics_: What are the options and scenarios for dealing with #publicdebt in the post-COVID #euroarea? 
@AlcidiCinzia, @WielandV…","RT @Intereconomics_: What are the options and scenarios for dealing with #publicdebt in the post-COVID #euroarea? 
@AlcidiCinzia, @WielandV…",What options scenarios dealing with #publicdebt post COVID #euroarea,"['What', 'options', 'scenarios', 'dealing', 'with', '#', 'publicdebt', 'post', 'COVID', '#', 'euroarea']","['options', 'publicdebt', 'post', 'COVID', 'euroarea']", option scenario deal #publicdebt post covid #euroarea …,True,['@Intereconomics_'],"['@AlcidiCinzia', '@WielandV']","['#publicdebt', '#euroarea']",1
77,"RT @HagleyTom1234: 650 MPs. Many not young.

If Covid was a ""once in a life time pandemic"" you'd expect, alas, that a number would have pas…","RT @HagleyTom1234: 650 MPs. Many not young.

If Covid was a ""once in a life time pandemic"" you'd expect, alas, that a number would have pas…",Many young Covid once life time pandemic expect alas that number would have,"['Many', 'young', 'Covid', 'once', 'life', 'time', 'pandemic', 'expect', 'alas', 'that', 'number', 'would', 'have']","['Covid', 'life', 'time', 'alas', 'number']",  mp mani young covid life time pandem expect ala number would pas…,True,['@HagleyTom1234'],[],[],1
80,RT @Rsel_99: Here doctors can't control the covid situation and @cbseindia29 assures the students and parents that they will control the si…,RT @Rsel_99: Here doctors can't control the covid situation and @cbseindia29 assures the students and parents that they will control the si…,Here doctors control covid situation assures students parents that they will control,"['Here', 'doctors', 'control', 'covid', 'situation', 'assures', 'students', 'parents', 'that', 'they', 'will', 'control']","['doctors', 'situation', 'students', 'parents']", doctor control covid situat assur student parent control si…,True,['@Rsel_99'],['@cbseindia29'],[],1
89,"RT @IainLJBrown: Covid-19 driven advances in automation and artificial intelligence risk exacerbating economic inequality - The BMJ

Read m…","RT @IainLJBrown: Covid-19 driven advances in automation and artificial intelligence risk exacerbating economic inequality - The BMJ

Read m…",Covid driven advances automation artificial intelligence risk exacerbating economic inequality Read,"['Covid', 'driven', 'advances', 'automation', 'artificial', 'intelligence', 'risk', 'exacerbating', 'economic', 'inequality', 'Read']","['Covid', 'driven', 'advances', 'intelligence', 'risk', 'inequality', 'Read']", covid  driven advanc autom artifici intellig risk exacerb econom inequ bmj read m…,True,['@IainLJBrown'],[],[],1
