,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
5,UK economy returns to growth despite Covid restrictions https://t.co/iT1evEXdRj,UK economy returns to growth despite Covid restrictions ,economy returns growth despite Covid restrictions,"['economy', 'returns', 'growth', 'despite', 'Covid', 'restrictions']","['economy', 'growth', 'Covid', 'restrictions']",uk economi return growth despit covid restrict ,False,[],[],[],2
15,"RT @svaradarajan: Godi Media is silent so if you're a believer, please pray God keeps India safe after the Modi &amp; Rawat govt's stunning neg…","RT @svaradarajan: Godi Media is silent so if you're a believer, please pray God keeps India safe after the Modi &amp; Rawat govt's stunning neg…",Godi Media silent believer please pray keeps India safe after Modi Rawat govt stunning,"['Godi', 'Media', 'silent', 'believer', 'please', 'pray', 'keeps', 'India', 'safe', 'after', 'Modi', 'Rawat', 'govt', 'stunning']","['Godi', 'Media', 'silent', 'believer', 'please', 'India', 'Modi', 'Rawat', 'govt']", godi media silent believ pleas pray god keep india safe modi amp rawat govt stun neg…,True,['@svaradarajan'],[],[],2
19,RT @sarahmanavis: An unbelievable story from @Anoosh_C on the list of government-approved companies from which you can order coronavirus te…,RT @sarahmanavis: An unbelievable story from @Anoosh_C on the list of government-approved companies from which you can order coronavirus te…,unbelievable story from list government approved companies from which order coronavirus,"['unbelievable', 'story', 'from', 'list', 'government', 'approved', 'companies', 'from', 'which', 'order', 'coronavirus']","['story', 'government', 'companies', 'order', 'coronavirus']", unbeliev stori list govern approv compani order coronaviru te…,True,['@sarahmanavis'],['@Anoosh_C'],[],2
20,RT @AntibioticDoc: I’m angry at the FLOOD of toxic misinformation that is being spread about COVID vaccines because it’s actually murderous…,RT @AntibioticDoc: I’m angry at the FLOOD of toxic misinformation that is being spread about COVID vaccines because it’s actually murderous…,angry FLOOD toxic misinformation that being spread about COVID vaccines because actually murderous,"['angry', 'FLOOD', 'toxic', 'misinformation', 'that', 'being', 'spread', 'about', 'COVID', 'vaccines', 'because', 'actually', 'murderous']","['FLOOD', 'toxic', 'misinformation', 'COVID', 'vaccines']", i’m angri flood toxic misinform spread covid vaccin it’ actual murderous…,True,['@AntibioticDoc'],[],[],2
24,"RT @SandraWeeden: Oxford/AstraZeneca not for under 60s. Ireland. 

OK for over 60s, though? 🤔

‘The new guidelines says the vaccine “is not…","RT @SandraWeeden: Oxford/AstraZeneca not for under 60s. Ireland. 

OK for over 60s, though? 🤔

‘The new guidelines says the vaccine “is not…",Oxford AstraZeneca under Ireland over though guidelines says vaccine,"['Oxford', 'AstraZeneca', 'under', 'Ireland', 'over', 'though', 'guidelines', 'says', 'vaccine']","['Oxford', 'AstraZeneca', 'Ireland', 'guidelines', 'vaccine']", oxford astrazeneca ireland ok though 🤔 ‘the new guidelin say vaccin “i not…,True,['@SandraWeeden'],[],[],2
27,"RT @EddieGore10: #Zimbabwe ranks eighth in terms of vaccination roll-out in #Africa, an impressive record that shows leadership acumen in d…","RT @EddieGore10: #Zimbabwe ranks eighth in terms of vaccination roll-out in #Africa, an impressive record that shows leadership acumen in d…",#Zimbabwe ranks eighth terms vaccination roll #Africa impressive record that shows leadership acumen,"['#', 'Zimbabwe', 'ranks', 'eighth', 'terms', 'vaccination', 'roll', '#', 'Africa', 'impressive', 'record', 'that', 'shows', 'leadership', 'acumen']","['Zimbabwe', 'terms', 'roll', 'Africa', 'record', 'leadership', 'acumen']", #zimbabwe rank eighth term vaccin roll #africa impress record show leadership acumen d…,True,['@EddieGore10'],[],"['#Zimbabwe', '#Africa']",2
31,"Dexamethasone that shows the best results of all tested drugs to reduce severity and death so far, also inhibits TG… https://t.co/TUf0Q5BHS0","Dexamethasone that shows the best results of all tested drugs to reduce severity and death so far, also inhibits TG… ",Dexamethasone that shows best results tested drugs reduce severity death also inhibits,"['Dexamethasone', 'that', 'shows', 'best', 'results', 'tested', 'drugs', 'reduce', 'severity', 'death', 'also', 'inhibits']","['Dexamethasone', 'results', 'drugs', 'severity', 'death']",dexamethason show best result test drug reduc sever death far also inhibit tg… ,False,[],[],[],2
37,@Himansh94406885 @AamAadmiParty @ArvindKejriwal Yrr tumne hardwork.  Kiy hai bo waste toh ho nhi jaayega becz knowl… https://t.co/45fpHWK7dQ,@Himansh94406885 @AamAadmiParty @ArvindKejriwal Yrr tumne hardwork.  Kiy hai bo waste toh ho nhi jaayega becz knowl… ,tumne hardwork waste jaayega becz knowl,"['tumne', 'hardwork', 'waste', 'jaayega', 'becz', 'knowl']","['tumne', 'hardwork', 'waste', 'jaayega', 'becz', 'knowl']", yrr tumn hardwork kiy hai bo wast toh ho nhi jaayega becz knowl… ,False,[],"['@Himansh94406885', '@AamAadmiParty', '@ArvindKejriwal']",[],2
46,"RT @BenjaminP3ters: Artificial Intelligence Is Predicting Future COVID-19 Strains, Developing Treatments - Observer

Read more here: https:…","RT @BenjaminP3ters: Artificial Intelligence Is Predicting Future COVID-19 Strains, Developing Treatments - Observer

Read more here: ",Artificial Intelligence Predicting Future COVID Strains Developing Treatments Observer Read more here,"['Artificial', 'Intelligence', 'Predicting', 'Future', 'COVID', 'Strains', 'Developing', 'Treatments', 'Observer', 'Read', 'more', 'here']","['Intelligence', 'Predicting', 'Future', 'COVID', 'Strains', 'Treatments', 'Observer']", artifici intellig predict futur covid  strain develop treatment observ read ,True,['@BenjaminP3ters'],[],[],2
55,oh snaps - I hope he gets well soon,oh snaps - I hope he gets well soon,snaps hope gets well soon,"['snaps', 'hope', 'gets', 'well', 'soon']",['snaps'],oh snap hope get well soo,False,[],[],[],2
58,"RT @GreeshmaShukla: 🇺🇲: Planning to increase vaccination
🇨🇦: Focusing on fighting covid
🇩🇪: Focusing on boosting economy
🇮🇳: Didi....OOO...…","RT @GreeshmaShukla: 🇺🇲: Planning to increase vaccination
🇨🇦: Focusing on fighting covid
🇩🇪: Focusing on boosting economy
🇮🇳: Didi....OOO...…",Planning increase vaccination Focusing fighting covid Focusing boosting economy Didi,"['Planning', 'increase', 'vaccination', 'Focusing', 'fighting', 'covid', 'Focusing', 'boosting', 'economy', 'Didi']","['increase', 'vaccination', 'covid', 'economy', 'Didi']", 🇺🇲 plan increas vaccin 🇨🇦 focus fight covid 🇩🇪 focus boost economi 🇮🇳 didi ooo …,True,['@GreeshmaShukla'],[],[],2
69,"RT @TerryDieHeiden: I can’t shake the feeling of frustration with current Malaysian government..
Investors are running away,
Underwater int…","RT @TerryDieHeiden: I can’t shake the feeling of frustration with current Malaysian government..
Investors are running away,
Underwater int…",shake feeling frustration with current Malaysian government Investors running away Underwater,"['shake', 'feeling', 'frustration', 'with', 'current', 'Malaysian', 'government', 'Investors', 'running', 'away', 'Underwater']","['frustration', 'government', 'Investors', 'Underwater']", can’t shake feel frustrat current malaysian govern investor run away underwat int…,True,['@TerryDieHeiden'],[],[],2
71,Not approving foreign vaccines was a masterstroke for #AatmanirbharBharat . Approving foreign vaccines is a masters… https://t.co/KB2wRDjyEY,Not approving foreign vaccines was a masterstroke for #AatmanirbharBharat . Approving foreign vaccines is a masters… ,approving foreign vaccines masterstroke #AatmanirbharBharat Approving foreign vaccines masters,"['approving', 'foreign', 'vaccines', 'masterstroke', '#', 'AatmanirbharBharat', 'Approving', 'foreign', 'vaccines', 'masters']","['vaccines', 'AatmanirbharBharat', 'Approving', 'vaccines', 'masters']",approv foreign vaccin masterstrok #aatmanirbharbharat approv foreign vaccin masters… ,False,[],[],['#AatmanirbharBharat'],2
86,@SaltboxCentre  Thank you to Barclays UK 100x100 COVID-19 Community Relief Fund https://t.co/sdQL0JKL6H via @YouTube,@SaltboxCentre  Thank you to Barclays UK 100x100 COVID-19 Community Relief Fund  via @YouTube,Thank Barclays COVID Community Relief Fund,"['Thank', 'Barclays', 'COVID', 'Community', 'Relief', 'Fund']","['Thank', 'Barclays', 'COVID', 'Community', 'Relief', 'Fund']", thank barclay uk x covid  commun relief fund via ,False,[],"['@SaltboxCentre', '@YouTube']",[],2
