,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
44,"RT @TrendPSPK: Friends,

EMERGENCY REQUIREMENT:

A+ Blood (Not for Covid)
Place: NTR Trust, Hyderabad

Please call: 7093171843

@hydblooddo…","RT @TrendPSPK: Friends,

EMERGENCY REQUIREMENT:

A+ Blood (Not for Covid)
Place: NTR Trust, Hyderabad

Please call: 7093171843

@hydblooddo…",Friends EMERGENCY REQUIREMENT Blood Covid Place Trust Hyderabad Please call,"['Friends', 'EMERGENCY', 'REQUIREMENT', 'Blood', 'Covid', 'Place', 'Trust', 'Hyderabad', 'Please', 'call']","['Friends', 'EMERGENCY', 'REQUIREMENT', 'Blood', 'Covid', 'Place', 'Trust', 'Hyderabad', 'Please']", friend emerg requir blood covid place ntr trust hyderabad pleas call  …,True,['@TrendPSPK'],['@hydblooddo'],[],4
54,"RT @DipshikhaGhosh: Please, please wear masks. I don’t know about other people but I’m physically and mentally exhausted with crazy shifts…","RT @DipshikhaGhosh: Please, please wear masks. I don’t know about other people but I’m physically and mentally exhausted with crazy shifts…",Please please wear masks know about other people physically mentally exhausted with crazy shifts,"['Please', 'please', 'wear', 'masks', 'know', 'about', 'other', 'people', 'physically', 'mentally', 'exhausted', 'with', 'crazy', 'shifts']","['please', 'masks', 'people', 'shifts']", pleas pleas wear mask don’t know peopl i’m physic mental exhaust crazi shifts…,True,['@DipshikhaGhosh'],[],[],4
75,"RT @DrCJSchofield: This comment from @guardian about the risks of Covid transmission in hospital is important.

Shouldn't this always be tr…","RT @DrCJSchofield: This comment from @guardian about the risks of Covid transmission in hospital is important.

Shouldn't this always be tr…",This comment from about risks Covid transmission hospital important Shouldn this always,"['This', 'comment', 'from', 'about', 'risks', 'Covid', 'transmission', 'hospital', 'important', 'Shouldn', 'this', 'always']","['comment', 'risks', 'Covid', 'transmission', 'hospital', 'Shouldn']", comment risk covid transmiss hospit import alway tr…,True,['@DrCJSchofield'],['@guardian'],[],4
82,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,should held responsible forcing future stars exams during this fast spread,"['should', 'held', 'responsible', 'forcing', 'future', 'stars', 'exams', 'during', 'this', 'fast', 'spread']","['future', 'stars', 'spread']", gov’t held respons gov’t forc futur star sit exam fast spread…,True,['@imchandanRay'],[],[],4
92,"RT @TheMendozaWoman: Gyms and pubs are still closed in Wales.

Would be great if the BBC bothered to learn what’s happening outside of Lond…","RT @TheMendozaWoman: Gyms and pubs are still closed in Wales.

Would be great if the BBC bothered to learn what’s happening outside of Lond…",Gyms pubs still closed Wales Would great bothered learn what happening outside Lond,"['Gyms', 'pubs', 'still', 'closed', 'Wales', 'Would', 'great', 'bothered', 'learn', 'what', 'happening', 'outside', 'Lond']","['Gyms', 'pubs', 'Wales', 'Would', 'Lond']", gym pub still close wale would great bbc bother learn what’ happen outsid lond…,True,['@TheMendozaWoman'],[],[],4
102,RT @latokens: Cities for the post-COVID future https://t.co/ZZkDhafdS3,RT @latokens: Cities for the post-COVID future ,Cities post COVID future,"['Cities', 'post', 'COVID', 'future']","['Cities', 'COVID', 'future']", citi post covid futur ,True,['@latokens'],[],[],4
118,RT @kaafitweets: URGENTLY REQUIRED: B+ Plasma Donor— Someone who has recovered from Covid in the last 4 months @ Asian Hospital Faridabad…,RT @kaafitweets: URGENTLY REQUIRED: B+ Plasma Donor— Someone who has recovered from Covid in the last 4 months @ Asian Hospital Faridabad…,URGENTLY REQUIRED Plasma Donor Someone recovered from Covid last months Asian Hospital Faridabad,"['URGENTLY', 'REQUIRED', 'Plasma', 'Donor', 'Someone', 'recovered', 'from', 'Covid', 'last', 'months', 'Asian', 'Hospital', 'Faridabad']","['URGENTLY', 'REQUIRED', 'Plasma', 'Donor', 'Someone', 'Covid', 'months', 'Hospital', 'Faridabad']", urgent requir b plasma donor— someon recov covid last  month asian hospit faridabad…,True,['@kaafitweets'],[],[],4
120,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,should held responsible forcing future stars exams during this fast spread,"['should', 'held', 'responsible', 'forcing', 'future', 'stars', 'exams', 'during', 'this', 'fast', 'spread']","['future', 'stars', 'spread']", gov’t held respons gov’t forc futur star sit exam fast spread…,True,['@imchandanRay'],[],[],4
161,"RT @MahuaMoitra: At Kumbh, Covid guard slips: No thermal screening, few masks, 102 test positive

Good job ModiShah, good job YogiCM for ke…","RT @MahuaMoitra: At Kumbh, Covid guard slips: No thermal screening, few masks, 102 test positive

Good job ModiShah, good job YogiCM for ke…",Kumbh Covid guard slips thermal screening masks test positive Good ModiShah good YogiCM,"['Kumbh', 'Covid', 'guard', 'slips', 'thermal', 'screening', 'masks', 'test', 'positive', 'Good', 'ModiShah', 'good', 'YogiCM']","['Kumbh', 'Covid', 'guard', 'test', 'Good', 'ModiShah', 'YogiCM']", kumbh covid guard slip thermal screen mask  test posit good job modishah good job yogicm ke…,True,['@MahuaMoitra'],[],[],4
175,@Trixianadelacru @btsportwwe @MsCharlotteWWE Could be she wasn't cleared due to her Covid test. A negative test too late,@Trixianadelacru @btsportwwe @MsCharlotteWWE Could be she wasn't cleared due to her Covid test. A negative test too late,Could wasn cleared Covid test negative test late,"['Could', 'wasn', 'cleared', 'Covid', 'test', 'negative', 'test', 'late']","['Could', 'wasn', 'Covid', 'test', 'test']", could clear due covid test neg test late,False,[],"['@Trixianadelacru', '@btsportwwe', '@MsCharlotteWWE']",[],4
187,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,should held responsible forcing future stars exams during this fast spread,"['should', 'held', 'responsible', 'forcing', 'future', 'stars', 'exams', 'during', 'this', 'fast', 'spread']","['future', 'stars', 'spread']", gov’t held respons gov’t forc futur star sit exam fast spread…,True,['@imchandanRay'],[],[],4
196,"Shoot them all, look at them all sitting down away from each other having a bevvy, how fucking dare they","Shoot them all, look at them all sitting down away from each other having a bevvy, how fucking dare they",Shoot them look them sitting down away from each other having bevvy fucking dare they,"['Shoot', 'them', 'look', 'them', 'sitting', 'down', 'away', 'from', 'each', 'other', 'having', 'bevvy', 'fucking', 'dare', 'they']","['Shoot', 'dare']",shoot look sit away bevvi fuck dare,False,[],[],[],4
214,RT @latokens: Cities for the post-COVID future https://t.co/ZZkDhafdS3,RT @latokens: Cities for the post-COVID future ,Cities post COVID future,"['Cities', 'post', 'COVID', 'future']","['Cities', 'COVID', 'future']", citi post covid futur ,True,['@latokens'],[],[],4
233,"Every story has two aspects
This picture shows Naga Sadhus wearing masks😷 wait for taking a dip in the Ganga during… https://t.co/To9g586rLv","Every story has two aspects
This picture shows Naga Sadhus wearing masks😷 wait for taking a dip in the Ganga during… ",Every story aspects This picture shows Naga Sadhus wearing masks wait taking Ganga during,"['Every', 'story', 'aspects', 'This', 'picture', 'shows', 'Naga', 'Sadhus', 'wearing', 'masks', 'wait', 'taking', 'Ganga', 'during']","['story', 'picture', 'Naga', 'Sadhus', 'masks', 'Ganga']",everi stori two aspect pictur show naga sadhu wear masks😷 wait take dip ganga during… ,False,[],[],[],4
256,"RT @DipshikhaGhosh: Please, please wear masks. I don’t know about other people but I’m physically and mentally exhausted with crazy shifts…","RT @DipshikhaGhosh: Please, please wear masks. I don’t know about other people but I’m physically and mentally exhausted with crazy shifts…",Please please wear masks know about other people physically mentally exhausted with crazy shifts,"['Please', 'please', 'wear', 'masks', 'know', 'about', 'other', 'people', 'physically', 'mentally', 'exhausted', 'with', 'crazy', 'shifts']","['please', 'masks', 'people', 'shifts']", pleas pleas wear mask don’t know peopl i’m physic mental exhaust crazi shifts…,True,['@DipshikhaGhosh'],[],[],4
278,RT @ZMTRUST: Lockdown Experiences of Ethnic Minority Prisoners: Measures to Prevent the Spread of Covid-19  #covid19 #lockdown #prison #are…,RT @ZMTRUST: Lockdown Experiences of Ethnic Minority Prisoners: Measures to Prevent the Spread of Covid-19  #covid19 #lockdown #prison #are…,Lockdown Experiences Ethnic Minority Prisoners Measures Prevent Spread Covid #covid #lockdown #prison #are,"['Lockdown', 'Experiences', 'Ethnic', 'Minority', 'Prisoners', 'Measures', 'Prevent', 'Spread', 'Covid', '#', 'covid', '#', 'lockdown', '#', 'prison', '#', 'are']","['Experiences', 'Ethnic', 'Minority', 'Prisoners', 'Measures', 'Prevent', 'Spread', 'Covid', 'prison']", lockdown experi ethnic minor prison measur prevent spread covid  #covid #lockdown #prison #are…,True,['@ZMTRUST'],[],"['#covid19', '#lockdown', '#prison', '#are']",4
300,"RT @TrendPSPK: Friends,

EMERGENCY REQUIREMENT:

A+ Blood (Not for Covid)
Place: NTR Trust, Hyderabad

Please call: 7093171843

@hydblooddo…","RT @TrendPSPK: Friends,

EMERGENCY REQUIREMENT:

A+ Blood (Not for Covid)
Place: NTR Trust, Hyderabad

Please call: 7093171843

@hydblooddo…",Friends EMERGENCY REQUIREMENT Blood Covid Place Trust Hyderabad Please call,"['Friends', 'EMERGENCY', 'REQUIREMENT', 'Blood', 'Covid', 'Place', 'Trust', 'Hyderabad', 'Please', 'call']","['Friends', 'EMERGENCY', 'REQUIREMENT', 'Blood', 'Covid', 'Place', 'Trust', 'Hyderabad', 'Please']", friend emerg requir blood covid place ntr trust hyderabad pleas call  …,True,['@TrendPSPK'],['@hydblooddo'],[],4
305,RT @GauravGogoiAsm: Leadership is about the foresight to prepare for the challenges facing a nation. A duty to Bharat Mata without seeking…,RT @GauravGogoiAsm: Leadership is about the foresight to prepare for the challenges facing a nation. A duty to Bharat Mata without seeking…,Leadership about foresight prepare challenges facing nation duty Bharat Mata without seeking,"['Leadership', 'about', 'foresight', 'prepare', 'challenges', 'facing', 'nation', 'duty', 'Bharat', 'Mata', 'without', 'seeking']","['Leadership', 'prepare', 'challenges', 'nation', 'duty', 'Bharat', 'Mata']", leadership foresight prepar challeng face nation duti bharat mata without seeking…,True,['@GauravGogoiAsm'],[],[],4
328,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,RT @imchandanRay: Gov’t should be held responsible. Why the Gov’t are forcing our future stars to sit for the exams during this fast-spread…,should held responsible forcing future stars exams during this fast spread,"['should', 'held', 'responsible', 'forcing', 'future', 'stars', 'exams', 'during', 'this', 'fast', 'spread']","['future', 'stars', 'spread']", gov’t held respons gov’t forc futur star sit exam fast spread…,True,['@imchandanRay'],[],[],4
