,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
11,RT @DrTeckKhong: I’ve been asked if I would cover the clinics of an absent colleague in another county who has been diagnosed and tested po…,RT @DrTeckKhong: I’ve been asked if I would cover the clinics of an absent colleague in another county who has been diagnosed and tested po…,been asked would cover clinics absent colleague another county been diagnosed tested,"['been', 'asked', 'would', 'cover', 'clinics', 'absent', 'colleague', 'another', 'county', 'been', 'diagnosed', 'tested']","['clinics', 'colleague', 'county']", i’v ask would cover clinic absent colleagu anoth counti diagnos test po…,True,['@DrTeckKhong'],[],[],5
16,"@brucetucker Oh Bruce, you’re not going to run off with the covid sex circus are you?","@brucetucker Oh Bruce, you’re not going to run off with the covid sex circus are you?",Bruce going with covid circus,"['Bruce', 'going', 'with', 'covid', 'circus']","['Bruce', 'circus']", oh bruce you’r go run covid sex circu ,False,[],['@brucetucker'],[],5
32,"The people have to be shown empathy especially during this hard times of covid-19
#CongratulationsHaji https://t.co/BDsTw9nFAA","The people have to be shown empathy especially during this hard times of covid-19
#CongratulationsHaji ",people have shown empathy especially during this hard times covid #CongratulationsHaji,"['people', 'have', 'shown', 'empathy', 'especially', 'during', 'this', 'hard', 'times', 'covid', '#', 'CongratulationsHaji']","['people', 'times', 'CongratulationsHaji']",peopl shown empathi especi hard time covid  #congratulationshaji ,False,[],[],['#CongratulationsHaji'],5
42,Good decision and long overdue. The MRA regulatory bodies are one of the most stringent and in emergency requiremen… https://t.co/Fmyhjm1lIA,Good decision and long overdue. The MRA regulatory bodies are one of the most stringent and in emergency requiremen… ,Good decision long overdue regulatory bodies most stringent emergency requiremen,"['Good', 'decision', 'long', 'overdue', 'regulatory', 'bodies', 'most', 'stringent', 'emergency', 'requiremen']","['decision', 'bodies', 'emergency', 'requiremen']",good decis long overdu mra regulatori bodi one stringent emerg requiremen… ,False,[],[],[],5
52,"RT @DrAsh_Mahendra: Good decision but alternative assessment is the only way, we Can't  postponed for long time @VarshaEGaikwad
#internalas…","RT @DrAsh_Mahendra: Good decision but alternative assessment is the only way, we Can't  postponed for long time @VarshaEGaikwad
#internalas…",Good decision alternative assessment only postponed long time #internalas,"['Good', 'decision', 'alternative', 'assessment', 'only', 'postponed', 'long', 'time', '#', 'internalas']","['decision', 'assessment', 'time', 'internalas']", good decis altern assess way postpon long time #internalas…,True,['@DrAsh_Mahendra'],['@VarshaEGaikwad'],['#internalas'],5
65,"Listening to a Gary Vee podcast and he’s talking about how life is just a perspective. 

Then he said “you know if… https://t.co/o5giJTTFSr","Listening to a Gary Vee podcast and he’s talking about how life is just a perspective. 

Then he said “you know if… ",Listening Gary podcast talking about life just perspective Then said know,"['Listening', 'Gary', 'podcast', 'talking', 'about', 'life', 'just', 'perspective', 'Then', 'said', 'know']","['Gary', 'podcast', 'life', 'know']",listen gari vee podcast he’ talk life perspect said “you know if… ,False,[],[],[],5
68,"RT @KiranKS: P Chidambaram: #TeekaUtsav is not a celebration. Should be called Crusade.

Only if he had read some history during his stay i…","RT @KiranKS: P Chidambaram: #TeekaUtsav is not a celebration. Should be called Crusade.

Only if he had read some history during his stay i…",Chidambaram #TeekaUtsav celebration Should called Crusade Only read some history during stay,"['Chidambaram', '#', 'TeekaUtsav', 'celebration', 'Should', 'called', 'Crusade', 'Only', 'read', 'some', 'history', 'during', 'stay']","['Chidambaram', 'TeekaUtsav', 'celebration', 'Should', 'Crusade', 'Only', 'history', 'stay']", p chidambaram #teekautsav celebr call crusad read histori stay i…,True,['@KiranKS'],[],['#TeekaUtsav'],5
74,"RT @thakur_shivangi: Covid patient given oxygen in Autorikshaw. Visuals are from Satara District, Maharashtra. https://t.co/Sobg1rfBGw","RT @thakur_shivangi: Covid patient given oxygen in Autorikshaw. Visuals are from Satara District, Maharashtra. ",Covid patient given oxygen Autorikshaw Visuals from Satara District Maharashtra,"['Covid', 'patient', 'given', 'oxygen', 'Autorikshaw', 'Visuals', 'from', 'Satara', 'District', 'Maharashtra']","['Covid', 'patient', 'Autorikshaw', 'Visuals', 'Satara', 'District', 'Maharashtra']", covid patient given oxygen autorikshaw visual satara district maharashtra ,True,['@thakur_shivangi'],[],[],5
94,"RT @sunlight_girl: ""🇷🇺Russian figure skaters held their first practice sessions in Osaka at the training rink. All skaters passed the neces…","RT @sunlight_girl: ""🇷🇺Russian figure skaters held their first practice sessions in Osaka at the training rink. All skaters passed the neces…",Russian figure skaters held their first practice sessions Osaka training rink skaters passed neces,"['Russian', 'figure', 'skaters', 'held', 'their', 'first', 'practice', 'sessions', 'Osaka', 'training', 'rink', 'skaters', 'passed', 'neces']","['figure', 'skaters', 'practice', 'sessions', 'Osaka', 'rink', 'skaters', 'neces']", 🇷🇺russian figur skater held first practic session osaka train rink skater pass neces…,True,['@sunlight_girl'],[],[],5
97,"RT @TheDamageReport: “America can do EVERYTHING wrong when it comes to Covid-19, BUT still be the first in the line for the vaccine.
That’s…","RT @TheDamageReport: “America can do EVERYTHING wrong when it comes to Covid-19, BUT still be the first in the line for the vaccine.
That’s…",America EVERYTHING wrong when comes Covid still first line vaccine That,"['America', 'EVERYTHING', 'wrong', 'when', 'comes', 'Covid', 'still', 'first', 'line', 'vaccine', 'That']","['America', 'EVERYTHING', 'Covid', 'line', 'vaccine']", “america everyth wrong come covid  still first line vaccin that’s…,True,['@TheDamageReport'],[],[],5
100,It also follows everybody to direct medical aid,It also follows everybody to direct medical aid,also follows everybody direct medical,"['also', 'follows', 'everybody', 'direct', 'medical']",['everybody'],also follow everybodi direct medic aid,False,[],[],[],5
107,"RT @NHSuk: Everyone can now get a free rapid Covid-19 test.
They show results in 30 minutes. 
They also show you're doing all you can to pr…","RT @NHSuk: Everyone can now get a free rapid Covid-19 test.
They show results in 30 minutes. 
They also show you're doing all you can to pr…",Everyone free rapid Covid test They show results minutes They also show doing,"['Everyone', 'free', 'rapid', 'Covid', 'test', 'They', 'show', 'results', 'minutes', 'They', 'also', 'show', 'doing']","['Everyone', 'rapid', 'Covid', 'test', 'results', 'minutes']", everyon get free rapid covid  test show result  minut also show pr…,True,['@NHSuk'],[],[],5
123,"UK folks over 45 ... apparently vaccination bookings are now available (just made one).
Be patient, the servers are… https://t.co/ueTaXriCji","UK folks over 45 ... apparently vaccination bookings are now available (just made one).
Be patient, the servers are… ",folks over apparently vaccination bookings available just made patient servers,"['folks', 'over', 'apparently', 'vaccination', 'bookings', 'available', 'just', 'made', 'patient', 'servers']","['folks', 'bookings', 'patient', 'servers']",uk folk  appar vaccin book avail made one patient server are… ,False,[],[],[],5
129,"RT @Rezang_La: Since this tweet is triggering Delhi, Maharashtra and Kerala, let me add that Uttar Pradesh is constructing a Film City, a m…","RT @Rezang_La: Since this tweet is triggering Delhi, Maharashtra and Kerala, let me add that Uttar Pradesh is constructing a Film City, a m…",Since this tweet triggering Delhi Maharashtra Kerala that Uttar Pradesh constructing Film City,"['Since', 'this', 'tweet', 'triggering', 'Delhi', 'Maharashtra', 'Kerala', 'that', 'Uttar', 'Pradesh', 'constructing', 'Film', 'City']","['tweet', 'Delhi', 'Maharashtra', 'Kerala', 'Uttar', 'Pradesh', 'constructing', 'Film', 'City']", sinc tweet trigger delhi maharashtra kerala let add uttar pradesh construct film citi m…,True,['@Rezang_La'],[],[],5
132,RT @rhodri: Hey you 45-50 year olds! Get in! JAB BOOKED https://t.co/V77bUxGxF7,RT @rhodri: Hey you 45-50 year olds! Get in! JAB BOOKED ,year olds BOOKED,"['year', 'olds', 'BOOKED']","['year', 'olds', 'BOOKED']", hey   year old get jab book ,True,['@rhodri'],[],[],5
141,"RT @FebresJase: Unfinished Business 🥷🖤🤘🏽
.
. Officially announcing that I will be taking my covid year to continue playing at The Universit…","RT @FebresJase: Unfinished Business 🥷🖤🤘🏽
.
. Officially announcing that I will be taking my covid year to continue playing at The Universit…",Unfinished Business Officially announcing that will taking covid year continue playing Universit,"['Unfinished', 'Business', 'Officially', 'announcing', 'that', 'will', 'taking', 'covid', 'year', 'continue', 'playing', 'Universit']","['Unfinished', 'Business', 'Officially', 'year', 'Universit']", unfinish busi 🥷🖤🤘🏽 offici announc take covid year continu play universit…,True,['@FebresJase'],[],[],5
150,@inthebarberry @IncenseBerner @Newsweek @IntrovertAncom More laundry washing from Covid. More cleaning supplies fro… https://t.co/1lUMBuyxt0,@inthebarberry @IncenseBerner @Newsweek @IntrovertAncom More laundry washing from Covid. More cleaning supplies fro… ,More laundry washing from Covid More cleaning supplies,"['More', 'laundry', 'washing', 'from', 'Covid', 'More', 'cleaning', 'supplies']","['Covid', 'More', 'cleaning', 'supplies']", laundri wash covid clean suppli fro… ,False,[],"['@inthebarberry', '@IncenseBerner', '@Newsweek', '@IntrovertAncom']",[],5
