,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
3,"RT @soompi: #GOT7's #BamBam Pauses Activities After Staff Member Tests Positive For COVID-19
https://t.co/2d5VrUuA11 https://t.co/OSMTb2bw5A","RT @soompi: #GOT7's #BamBam Pauses Activities After Staff Member Tests Positive For COVID-19
 ",#GOT #BamBam Pauses Activities After Staff Member Tests Positive COVID,"['#', 'GOT', '#', 'BamBam', 'Pauses', 'Activities', 'After', 'Staff', 'Member', 'Tests', 'Positive', 'COVID']","['GOT', 'BamBam', 'Pauses', 'Activities', 'Staff', 'Member', 'Tests', 'Positive', 'COVID']", #got #bambam paus activ staff member test posit covid  ,True,['@soompi'],[],"['#GOT7', '#BamBam']",6
12,"@XanderhalTV Didn't hear a peep out of these people when Trump had covid, that some of the medicine he took used ""aborted fetal tissue""","@XanderhalTV Didn't hear a peep out of these people when Trump had covid, that some of the medicine he took used ""aborted fetal tissue""",Didn hear peep these people when Trump covid that some medicine took used aborted fetal tissue,"['Didn', 'hear', 'peep', 'these', 'people', 'when', 'Trump', 'covid', 'that', 'some', 'medicine', 'took', 'used', 'aborted', 'fetal', 'tissue']","['Didn', 'people', 'Trump', 'covid', 'medicine', 'tissue']", hear peep peopl trump covid medicin took use abort fetal tissu ,False,[],['@XanderhalTV'],[],6
13,"RT @syahredzan: Make your cabinet smaller, remove ‘special envoys with minister salaries’.","RT @syahredzan: Make your cabinet smaller, remove ‘special envoys with minister salaries’.",Make your cabinet smaller remove special envoys with minister salaries,"['Make', 'your', 'cabinet', 'smaller', 'remove', 'special', 'envoys', 'with', 'minister', 'salaries']","['cabinet', 'envoys', 'minister', 'salaries']", make cabinet smaller remov ‘special envoy minist salaries’ ,True,['@syahredzan'],[],[],6
14,"RT @DoraResists: @thomaskaine5 You couldn’t pay me enough money to vacation in FL. It’s a COVID haven, and literally a Trump haven, and I w…","RT @DoraResists: @thomaskaine5 You couldn’t pay me enough money to vacation in FL. It’s a COVID haven, and literally a Trump haven, and I w…",couldn enough money vacation COVID haven literally Trump haven,"['couldn', 'enough', 'money', 'vacation', 'COVID', 'haven', 'literally', 'Trump', 'haven']","['couldn', 'money', 'vacation', 'COVID', 'Trump', 'haven']", couldn’t pay enough money vacat fl it’ covid liter trump w…,True,['@DoraResists'],['@thomaskaine5'],[],6
29,RT @KayaNatinPH: VP @lenirobredo was recognized for her signature anti-poverty program Angat Buhay and the Office of the Vice President's (…,RT @KayaNatinPH: VP @lenirobredo was recognized for her signature anti-poverty program Angat Buhay and the Office of the Vice President's (…,recognized signature anti poverty program Angat Buhay Office Vice President,"['recognized', 'signature', 'anti', 'poverty', 'program', 'Angat', 'Buhay', 'Office', 'Vice', 'President']","['signature', 'poverty', 'program', 'Angat', 'Buhay', 'Office', 'Vice', 'President']", vp recogn signatur anti poverti program angat buhay offic vice presid …,True,['@KayaNatinPH'],['@lenirobredo'],[],6
36,RT @ukcolumn: A very big thank you to all the very brave @NHSuk whistleblowers who are now stepping forward to reveal what is really happen…,RT @ukcolumn: A very big thank you to all the very brave @NHSuk whistleblowers who are now stepping forward to reveal what is really happen…,very thank very brave whistleblowers stepping forward reveal what really happen,"['very', 'thank', 'very', 'brave', 'whistleblowers', 'stepping', 'forward', 'reveal', 'what', 'really', 'happen']",['whistleblowers'], big thank brave whistleblow step forward reveal realli happen…,True,['@ukcolumn'],['@NHSuk'],[],6
50,RT @GermanAmbGhana: Germany 🇩🇪 is supporting Ghana 🇬🇭 to do a feasibility study on vaccine production in Ghana. Leading global German pharm…,RT @GermanAmbGhana: Germany 🇩🇪 is supporting Ghana 🇬🇭 to do a feasibility study on vaccine production in Ghana. Leading global German pharm…,Germany supporting Ghana feasibility study vaccine production Ghana Leading global German pharm,"['Germany', 'supporting', 'Ghana', 'feasibility', 'study', 'vaccine', 'production', 'Ghana', 'Leading', 'global', 'German', 'pharm']","['Germany', 'Ghana', 'feasibility', 'study', 'vaccine', 'production', 'Ghana', 'Leading', 'pharm']", germani 🇩🇪 support ghana 🇬🇭 feasibl studi vaccin product ghana lead global german pharm…,True,['@GermanAmbGhana'],[],[],6
51,"Trying from last 3 hr for covid testing lab near sarjapura road for home collection 
No reply no response, worst co… https://t.co/RINwYqexZq","Trying from last 3 hr for covid testing lab near sarjapura road for home collection 
No reply no response, worst co… ",Trying from last covid testing near sarjapura road home collection reply response worst,"['Trying', 'from', 'last', 'covid', 'testing', 'near', 'sarjapura', 'road', 'home', 'collection', 'reply', 'response', 'worst']","['sarjapura', 'road', 'home', 'collection', 'reply', 'response', 'worst']",tri last  hr covid test lab near sarjapura road home collect repli respons worst co… ,False,[],[],[],6
72,"RT @SAReport: San Antonio ISD Superintendent Pedro Martinez has outlined a ""progressive"" three-year response to fight pandemic-related lear…","RT @SAReport: San Antonio ISD Superintendent Pedro Martinez has outlined a ""progressive"" three-year response to fight pandemic-related lear…",Antonio Superintendent Pedro Martinez outlined progressive three year response fight pandemic related lear,"['Antonio', 'Superintendent', 'Pedro', 'Martinez', 'outlined', 'progressive', 'three', 'year', 'response', 'fight', 'pandemic', 'related', 'lear']","['Antonio', 'Superintendent', 'Pedro', 'Martinez', 'year', 'response', 'fight', 'pandemic']", san antonio isd superintend pedro martinez outlin progress three year respons fight pandem relat lear…,True,['@SAReport'],[],[],6
98,"Here’s what can help the US soon see a Covid-19 ‘turnaround,’ Fauci says https://t.co/e2UgCcSLKP","Here’s what can help the US soon see a Covid-19 ‘turnaround,’ Fauci says ",Here what help soon Covid turnaround Fauci says,"['Here', 'what', 'help', 'soon', 'Covid', 'turnaround', 'Fauci', 'says']","['Covid', 'turnaround', 'Fauci']",here’ help us soon see covid  ‘turnaround ’ fauci say ,False,[],[],[],6
99,"RT @adaderana: Sri Lanka’s COVID death toll tops 600

READ MORE: https://t.co/lcuTjFEpkc https://t.co/PGWR3t5SKU","RT @adaderana: Sri Lanka’s COVID death toll tops 600

READ MORE:  ",Lanka COVID death toll tops READ MORE,"['Lanka', 'COVID', 'death', 'toll', 'tops', 'READ', 'MORE']","['Lanka', 'COVID', 'death', 'toll', 'READ', 'MORE']", sri lanka’ covid death toll top  read ,True,['@adaderana'],[],[],6
113,RT @schengen_info: 87 per cent of travellers claim that they desperately need to take a vacation/trip outside their country of residence ri…,RT @schengen_info: 87 per cent of travellers claim that they desperately need to take a vacation/trip outside their country of residence ri…,cent travellers claim that they desperately need take vacation trip outside their country residence,"['cent', 'travellers', 'claim', 'that', 'they', 'desperately', 'need', 'take', 'vacation', 'trip', 'outside', 'their', 'country', 'residence']","['cent', 'travellers', 'vacation', 'trip', 'country', 'residence']",  per cent travel claim desper need take vacat trip outsid countri resid ri…,True,['@schengen_info'],[],[],6
116,RT @Thomas_Sparrow: The German cabinet is expected to agree today on controversial changes to a law which would hand the government more po…,RT @Thomas_Sparrow: The German cabinet is expected to agree today on controversial changes to a law which would hand the government more po…,German cabinet expected agree today controversial changes which would hand government more,"['German', 'cabinet', 'expected', 'agree', 'today', 'controversial', 'changes', 'which', 'would', 'hand', 'government', 'more']","['cabinet', 'today', 'changes', 'hand', 'government']", german cabinet expect agre today controversi chang law would hand govern po…,True,['@Thomas_Sparrow'],[],[],6
128,RT @sanket: The Election Commission of India has been an utter failure in ensuring COVID appropriate behaviour at political functions. Abso…,RT @sanket: The Election Commission of India has been an utter failure in ensuring COVID appropriate behaviour at political functions. Abso…,Election Commission India been utter failure ensuring COVID appropriate behaviour political functions Abso,"['Election', 'Commission', 'India', 'been', 'utter', 'failure', 'ensuring', 'COVID', 'appropriate', 'behaviour', 'political', 'functions', 'Abso']","['Election', 'Commission', 'India', 'failure', 'COVID', 'functions']", elect commiss india utter failur ensur covid appropri behaviour polit function abso…,True,['@sanket'],[],[],6
135,RT @AHart1974: Also worth a read. https://t.co/DbWUCDo0Kl,RT @AHart1974: Also worth a read. ,Also worth read,"['Also', 'worth', 'read']",[], also worth read ,True,['@AHart1974'],[],[],6
137,"RT @Koreaboo: GOT7’s BamBam Halts Activities After Staff Member Tests COVID-19 Positive

https://t.co/2V5s8eYJi0","RT @Koreaboo: GOT7’s BamBam Halts Activities After Staff Member Tests COVID-19 Positive

",BamBam Halts Activities After Staff Member Tests COVID Positive,"['BamBam', 'Halts', 'Activities', 'After', 'Staff', 'Member', 'Tests', 'COVID', 'Positive']","['BamBam', 'Halts', 'Activities', 'Staff', 'Member', 'COVID', 'Positive']", got’ bambam halt activ staff member test covid  posit ,True,['@Koreaboo'],[],[],6
142,"RT @Veniceofeast: Covid cases surge in India, 1.6 lakhs cases per day. We are leading from the front 

Thank you @narendramodi, Global lead…","RT @Veniceofeast: Covid cases surge in India, 1.6 lakhs cases per day. We are leading from the front 

Thank you @narendramodi, Global lead…",Covid cases surge India lakhs cases leading from front Thank Global lead,"['Covid', 'cases', 'surge', 'India', 'lakhs', 'cases', 'leading', 'from', 'front', 'Thank', 'Global', 'lead']","['Covid', 'cases', 'India', 'lakhs', 'cases', 'Thank', 'Global', 'lead']", covid case surg india   lakh case per day lead front thank global lead…,True,['@Veniceofeast'],['@narendramodi'],[],6
152,RT @drshamamohd: CBSE students already have a tremendous pressure of studies. Should they have to fear for their lives too while appearing…,RT @drshamamohd: CBSE students already have a tremendous pressure of studies. Should they have to fear for their lives too while appearing…,CBSE students already have tremendous pressure studies Should they have fear their lives while appearing,"['CBSE', 'students', 'already', 'have', 'tremendous', 'pressure', 'studies', 'Should', 'they', 'have', 'fear', 'their', 'lives', 'while', 'appearing']","['students', 'pressure', 'studies', 'lives']", cbse student alreadi tremend pressur studi fear live appearing…,True,['@drshamamohd'],[],[],6
153,AT LAST this is long overdue.......come out of the wood work  you NHS STAFF and spill the beans.. after this is all… https://t.co/9Gkr0rmvMY,AT LAST this is long overdue.......come out of the wood work  you NHS STAFF and spill the beans.. after this is all… ,LAST this long overdue come wood work STAFF spill beans after this,"['LAST', 'this', 'long', 'overdue', 'come', 'wood', 'work', 'STAFF', 'spill', 'beans', 'after', 'this']","['wood', 'work', 'STAFF', 'spill', 'beans']",last long overdu come wood work nh staff spill bean all… ,False,[],[],[],6
160,RT @jeffvierstra: COVID has upped my geographical trivia knowledge. I didn't realize the lower 48 are not contiguous --  the border closure…,RT @jeffvierstra: COVID has upped my geographical trivia knowledge. I didn't realize the lower 48 are not contiguous --  the border closure…,COVID upped geographical trivia knowledge didn realize lower contiguous border closure,"['COVID', 'upped', 'geographical', 'trivia', 'knowledge', 'didn', 'realize', 'lower', 'contiguous', 'border', 'closure']","['COVID', 'trivia', 'knowledge', 'didn', 'border', 'closure']", covid up geograph trivia knowledg realiz lower  contigu border closure…,True,['@jeffvierstra'],[],[],6
165,"RT @lambeth_council: 🚨Breaking🚨
New cases of the #Covid-19 variant first detected in South Africa have been found in Lambeth

Everyone aged…","RT @lambeth_council: 🚨Breaking🚨
New cases of the #Covid-19 variant first detected in South Africa have been found in Lambeth

Everyone aged…",Breaking cases #Covid variant first detected South Africa have been found Lambeth Everyone aged,"['Breaking', 'cases', '#', 'Covid', 'variant', 'first', 'detected', 'South', 'Africa', 'have', 'been', 'found', 'Lambeth', 'Everyone', 'aged']","['cases', 'Covid', 'variant', 'South', 'Africa', 'Lambeth', 'Everyone']", 🚨breaking🚨 new case #covid  variant first detect south africa found lambeth everyon aged…,True,['@lambeth_council'],[],['#Covid-19'],6
166,RT @visaboyy: Join our Facebook live 10a.m this morning for the official launch and unveiling. Let's join forces in kicking COVID out. #UCC…,RT @visaboyy: Join our Facebook live 10a.m this morning for the official launch and unveiling. Let's join forces in kicking COVID out. #UCC…,Join Facebook live this morning official launch unveiling join forces kicking COVID #UCC,"['Join', 'Facebook', 'live', 'this', 'morning', 'official', 'launch', 'unveiling', 'join', 'forces', 'kicking', 'COVID', '#', 'UCC']","['Join', 'Facebook', 'morning', 'official', 'launch', 'join', 'forces', 'COVID', 'UCC']", join facebook live morn offici launch unveil let join forc kick covid #ucc…,True,['@visaboyy'],[],['#UCC'],6
169,@NRO @jimgeraghty It's cute how you blame China for your governments response to Covid-19.,@NRO @jimgeraghty It's cute how you blame China for your governments response to Covid-19.,cute blame China your governments response Covid,"['cute', 'blame', 'China', 'your', 'governments', 'response', 'Covid']","['cute', 'China', 'governments', 'response', 'Covid']", cute blame china govern respons covid  ,False,[],"['@NRO', '@jimgeraghty']",[],6
172,"RT @Koreaboo: GOT7’s BamBam Halts Activities After Staff Member Tests COVID-19 Positive

https://t.co/2V5s8eYJi0","RT @Koreaboo: GOT7’s BamBam Halts Activities After Staff Member Tests COVID-19 Positive

",BamBam Halts Activities After Staff Member Tests COVID Positive,"['BamBam', 'Halts', 'Activities', 'After', 'Staff', 'Member', 'Tests', 'COVID', 'Positive']","['BamBam', 'Halts', 'Activities', 'Staff', 'Member', 'COVID', 'Positive']", got’ bambam halt activ staff member test covid  posit ,True,['@Koreaboo'],[],[],6
